net,length_um
regfile.regfile\[7\]\[26\],13.72
_0168_,13.68
_0735_,13.62
_1190_,13.58
_1220_,13.58
regfile.regfile\[21\]\[30\],13.58
_0596_,13.56
_1009_,13.54
_1206_,13.54
_0397_,13.5
regfile.regfile\[12\]\[31\],13.5
_1234_,13.48
_1310_,13.48
_0510_,13.46
_0892_,13.46
_1166_,13.46
_1201_,13.46
_0603_,13.42
_1208_,13.42
_0649_,13.38
_0909_,13.38
regfile.regfile\[21\]\[8\],13.38
_1292_,13.32
_0548_,13.28
_0924_,13.26
_0420_,13.215
_1160_,13.18
_0701_,13.16
_1225_,13.16
_1102_,13.14
_0877_,13.12
_1076_,13.12
_1231_,13.12
_1252_,13.12
_0602_,13.1
_1150_,13.04
_1205_,13.04
_1192_,13
_1200_,13
_1202_,13
_1308_,13
regfile.regfile\[7\]\[16\],13
_0845_,12.96
_0665_,12.9
_0092_,12.895
_0530_,12.88
_1161_,12.88
_1164_,12.88
_0847_,12.86
regfile.regfile\[18\]\[23\],12.84
_1307_,12.8
_1016_,12.74
_0506_,12.72
regfile.regfile\[21\]\[12\],12.72
_0709_,12.7
_0937_,12.68
_1188_,12.66
_1223_,12.66
regfile.regfile\[21\]\[6\],12.66
_1216_,12.64
_0319_,12.62
_1051_,12.62
_0499_,12.58
regfile.regfile\[12\]\[19\],12.58
_0632_,12.56
_1159_,12.54
_1230_,12.54
_1303_,12.54
regfile.regfile\[12\]\[23\],12.48
_0466_,12.44
_1015_,12.38
_1099_,12.3
_0392_,12.26
_0426_,12.26
_0917_,12.26
_1085_,12.24
_1132_,12.24
regfile.regfile\[7\]\[24\],12.22
_0082_,12.205
_1095_,12.2
_1222_,12.2
_1299_,12.2
_1174_,12.16
_1229_,12.12
regfile.regfile\[12\]\[16\],12.12
regfile.regfile\[7\]\[7\],12.12
_0689_,12.1
_1170_,12.1
_1218_,12.1
_1295_,12.1
_0382_,12.08
_1061_,12.08
_0349_,12.04
_1148_,12.04
_1043_,12
regfile.regfile\[7\]\[23\],12
_0711_,11.98
_0771_,11.97
_1050_,11.96
_0180_,11.84
_1314_,11.78
_0589_,11.76
_1063_,11.74
regfile.regfile\[12\]\[6\],11.74
regfile.regfile\[7\]\[12\],11.74
regfile.regfile\[7\]\[27\],11.74
_0268_,11.72
_0486_,11.72
net34,11.72
_0230_,11.7
regfile.regfile\[12\]\[21\],11.66
net22,11.62
_0211_,11.6
regfile.regfile\[12\]\[29\],11.6
_0650_,11.58
_0768_,11.54
_0280_,11.5
regfile.regfile\[7\]\[17\],11.5
regfile.regfile\[21\]\[17\],11.48
_0659_,11.38
_1094_,11.32
_1158_,11.32
regfile.regfile\[18\]\[17\],11.32
_0748_,11.3
_0033_,11.285
_1172_,11.28
_1179_,11.28
_1232_,11.28
_0969_,11.24
_0664_,11.22
_0208_,11.2
_0282_,11.2
_0336_,11.12
_0164_,11.1
_1074_,11.06
_1239_,11.04
_0940_,11.02
_0540_,10.96
_0725_,10.96
_1044_,10.92
_1297_,10.86
_1243_,10.82
_1321_,10.8
_1139_,10.74
_1301_,10.74
_1306_,10.74
net24,10.74
_0358_,10.7
_0775_,10.7
_1189_,10.7
_1199_,10.7
_1294_,10.7
regfile.regfile\[12\]\[13\],10.7
_0286_,10.68
_0700_,10.64
_0276_,10.62
regfile.regfile\[7\]\[18\],10.62
_0551_,10.54
_1048_,10.48
_0722_,10.46
