net,length_um
rf.registers\[6\]\[12\],35.395
rf.registers\[26\]\[15\],35.38
_2552_,35.36
_2279_,35.34
rf.registers\[5\]\[7\],35.34
_1402_,35.3
_2091_,35.3
rf.registers\[20\]\[11\],35.3
rf.registers\[7\]\[21\],35.3
rf.registers\[15\]\[2\],35.16
_2073_,35.14
rf.registers\[21\]\[6\],35.14
_1308_,35.06
_1062_,34.92
_1264_,34.92
rf.registers\[15\]\[4\],34.92
rf.registers\[5\]\[11\],34.92
rf.registers\[27\]\[28\],34.88
rf.registers\[26\]\[4\],34.81
rf.registers\[6\]\[31\],34.695
rf.registers\[10\]\[0\],34.61
rf.registers\[3\]\[8\],34.56
_1709_,34.5
rf.registers\[31\]\[27\],34.5
rf.registers\[16\]\[13\],34.38
rf.registers\[24\]\[27\],34.36
_1131_,34.34
rf.registers\[19\]\[8\],34.28
rf.registers\[6\]\[8\],34.24
clknet_leaf_155_clk,34.22
_1581_,34.2
_2385_,34.18
rf.registers\[4\]\[13\],34.12
rf.registers\[12\]\[20\],34.04
rf.registers\[20\]\[25\],34
rf.registers\[18\]\[9\],33.97
_1223_,33.96
_1548_,33.96
rf.registers\[6\]\[2\],33.955
_1407_,33.94
_1226_,33.92
_1155_,33.9
rf.registers\[6\]\[11\],33.895
rf.registers\[12\]\[22\],33.88
rf.registers\[1\]\[29\],33.875
rf.registers\[14\]\[29\],33.87
_1420_,33.8
rf.registers\[1\]\[22\],33.8
_2354_,33.76
rf.registers\[22\]\[23\],33.73
rf.registers\[9\]\[31\],33.72
rf.registers\[0\]\[14\],33.66
rf.registers\[8\]\[12\],33.62
rf.registers\[9\]\[23\],33.58
rf.registers\[17\]\[10\],33.54
rf.registers\[11\]\[1\],33.46
rf.registers\[12\]\[14\],33.42
rf.registers\[8\]\[27\],33.42
_2486_,33.38
rf.registers\[13\]\[11\],33.32
rf.registers\[31\]\[18\],33.32
_1600_,33.3
rf.registers\[19\]\[30\],33.22
rf.registers\[11\]\[14\],33.19
_1063_,33.14
rf.registers\[27\]\[26\],33.12
_2303_,33.085
rf.registers\[0\]\[0\],33.08
rf.registers\[30\]\[3\],33.08
rf.registers\[14\]\[25\],33.055
rf.registers\[10\]\[13\],32.995
rf.registers\[9\]\[2\],32.98
rf.registers\[22\]\[28\],32.97
rf.registers\[0\]\[27\],32.94
rf.registers\[19\]\[18\],32.94
_1658_,32.92
rf.registers\[15\]\[19\],32.92
rf.registers\[6\]\[26\],32.915
rf.registers\[14\]\[4\],32.9
_1422_,32.88
rf.registers\[0\]\[9\],32.84
rf.registers\[10\]\[16\],32.8
_1937_,32.745
rf.registers\[11\]\[18\],32.74
_2369_,32.72
rf.registers\[18\]\[28\],32.71
rf.registers\[16\]\[30\],32.7
rf.registers\[5\]\[10\],32.7
rf.registers\[7\]\[23\],32.66
rf.registers\[16\]\[11\],32.6
_1642_,32.58
_2424_,32.58
rf.registers\[1\]\[9\],32.54
rf.registers\[14\]\[17\],32.49
_1892_,32.46
rf.registers\[17\]\[28\],32.44
rf.registers\[7\]\[22\],32.395
rf.registers\[2\]\[19\],32.365
_2445_,32.34
rf.registers\[28\]\[13\],32.34
rf.registers\[3\]\[13\],32.32
rf.registers\[18\]\[0\],32.29
rf.registers\[31\]\[31\],32.28
rf.registers\[25\]\[7\],32.26
_1675_,32.12
_2497_,32.08
rf.registers\[12\]\[25\],32.08
_1185_,32
rf.registers\[9\]\[21\],32
_1130_,31.98
_2125_,31.98
rf.registers\[11\]\[3\],31.81
rf.registers\[6\]\[17\],31.765
_1810_,31.76
rf.registers\[3\]\[1\],31.74
rf.registers\[1\]\[6\],31.66
_1545_,31.64
rf.registers\[5\]\[31\],31.62
rf.registers\[6\]\[19\],31.585
rf.registers\[11\]\[11\],31.5
rf.registers\[28\]\[24\],31.5
rf.registers\[3\]\[17\],31.465
rf.registers\[23\]\[7\],31.46
_1081_,31.44
rf.registers\[6\]\[0\],31.435
rf.registers\[2\]\[8\],31.425
rf.registers\[7\]\[19\],31.38
rf.registers\[1\]\[18\],31.36
rf.registers\[31\]\[2\],31.32
rf.registers\[26\]\[18\],31.315
_1390_,31.24
_2518_,31.235
rf.registers\[11\]\[17\],31.2
_2139_,31.12
rf.registers\[7\]\[8\],31.12
rf.registers\[10\]\[1\],31.11
_1985_,31.08
rf.registers\[15\]\[11\],31.08
rf.registers\[21\]\[9\],31.08
rf.registers\[2\]\[17\],31.06
rf.registers\[10\]\[6\],30.92
rf.registers\[20\]\[20\],30.88
rf.registers\[21\]\[12\],30.835
rf.registers\[28\]\[27\],30.82
rf.registers\[23\]\[31\],30.78
_1089_,30.74
rf.registers\[2\]\[0\],30.735
_2371_,30.7
_1909_,30.68
rf.registers\[12\]\[24\],30.68
_2258_,30.66
_2276_,30.66
rf.registers\[0\]\[8\],30.66
rf.registers\[26\]\[24\],30.635
rf.registers\[5\]\[16\],30.62
